[1;34m[src/utils/log.c:13 init_log] Log is written to /home/ziqiang/ics2021/am-kernels/kernels/typing-game/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:60 init_mem] physical memory area [0x80000000, 0x88000000][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:46 load_img] The image is /home/ziqiang/ics2021/am-kernels/kernels/typing-game/build/typing-game-riscv32-nemu.bin, size = 50872[0m
[1;34m[src/monitor/monitor.c:13 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:14 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:17 welcome] Build time: 20:05:56, Oct 31 2023[0m
dtrace: write rtc at0xa0000048, 4 with 0x00000000
dtrace: write rtc at0xa000004c, 4 with 0x00000000
dtrace: read vgactl at 0xa0000100, 4
dtrace: read vgactl at 0xa0000100, 4
dtrace: read vgactl at 0xa0000100, 4
dtrace: write vmem at0xa1000000, 4 with 0x002a0a29
dtrace: write vmem at0xa1000004, 4 with 0x002a0a29
dtrace: write vmem at0xa1000008, 4 with 0x002a0a29
dtrace: write vmem at0xa100000c, 4 with 0x002a0a29
dtrace: write vmem at0xa1000010, 4 with 0x002a0a29
dtrace: write vmem at0xa1000014, 4 with 0x002a0a29
dtrace: write vmem at0xa1000018, 4 with 0x002a0a29
dtrace: write vmem at0xa100001c, 4 with 0x002a0a29
dtrace: write vmem at0xa1000640, 4 with 0x002a0a29
dtrace: write vmem at0xa1000644, 4 with 0x002a0a29
dtrace: write vmem at0xa1000648, 4 with 0x002a0a29
dtrace: write vmem at0xa100064c, 4 with 0x002a0a29
dtrace: write vmem at0xa1000650, 4 with 0x002a0a29
dtrace: write vmem at0xa1000654, 4 with 0x002a0a29
dtrace: write vmem at0xa1000658, 4 with 0x002a0a29
dtrace: write vmem at0xa100065c, 4 with 0x002a0a29
dtrace: write vmem at0xa1000c80, 4 with 0x002a0a29
dtrace: write vmem at0xa1000c84, 4 with 0x002a0a29
dtrace: write vmem at0xa1000c88, 4 with 0x002a0a29
dtrace: write vmem at0xa1000c8c, 4 with 0x002a0a29
dtrace: write vmem at0xa1000c90, 4 with 0x002a0a29
dtrace: write vmem at0xa1000c94, 4 with 0x002a0a29
dtrace: write vmem at0xa1000c98, 4 with 0x002a0a29
dtrace: write vmem at0xa1000c9c, 4 with 0x002a0a29
dtrace: write vmem at0xa10012c0, 4 with 0x002a0a29
dtrace: write vmem at0xa10012c4, 4 with 0x002a0a29
dtrace: write vmem at0xa10012c8, 4 with 0x002a0a29
dtrace: write vmem at0xa10012cc, 4 with 0x002a0a29
dtrace: write vmem at0xa10012d0, 4 with 0x002a0a29
dtrace: write vmem at0xa10012d4, 4 with 0x002a0a29
dtrace: write vmem at0xa10012d8, 4 with 0x002a0a29
dtrace: write vmem at0xa10012dc, 4 with 0x002a0a29
dtrace: write vmem at0xa1001900, 4 with 0x002a0a29
dtrace: write vmem at0xa1001904, 4 with 0x002a0a29
dtrace: write vmem at0xa1001908, 4 with 0x002a0a29
dtrace: write vmem at0xa100190c, 4 with 0x002a0a29
dtrace: write vmem at0xa1001910, 4 with 0x002a0a29
dtrace: write vmem at0xa1001914, 4 with 0x002a0a29
dtrace: write vmem at0xa1001918, 4 with 0x002a0a29
dtrace: write vmem at0xa100191c, 4 with 0x002a0a29
dtrace: write vmem at0xa1001f40, 4 with 0x002a0a29
dtrace: write vmem at0xa1001f44, 4 with 0x002a0a29
dtrace: write vmem at0xa1001f48, 4 with 0x002a0a29
dtrace: write vmem at0xa1001f4c, 4 with 0x002a0a29
dtrace: write vmem at0xa1001f50, 4 with 0x002a0a29
dtrace: write vmem at0xa1001f54, 4 with 0x002a0a29
dtrace: write vmem at0xa1001f58, 4 with 0x002a0a29
dtrace: write vmem at0xa1001f5c, 4 with 0x002a0a29
dtrace: write vmem at0xa1002580, 4 with 0x002a0a29
dtrace: write vmem at0xa1002584, 4 with 0x002a0a29
dtrace: write vmem at0xa1002588, 4 with 0x002a0a29
dtrace: write vmem at0xa100258c, 4 with 0x002a0a29
dtrace: write vmem at0xa1002590, 4 with 0x002a0a29
dtrace: write vmem at0xa1002594, 4 with 0x002a0a29
dtrace: write vmem at0xa1002598, 4 with 0x002a0a29
dtrace: write vmem at0xa100259c, 4 with 0x002a0a29
dtrace: write vmem at0xa1002bc0, 4 with 0x002a0a29
dtrace: write vmem at0xa1002bc4, 4 with 0x002a0a29
dtrace: write vmem at0xa1002bc8, 4 with 0x002a0a29
dtrace: write vmem at0xa1002bcc, 4 with 0x002a0a29
dtrace: write vmem at0xa1002bd0, 4 with 0x002a0a29
dtrace: write vmem at0xa1002bd4, 4 with 0x002a0a29
dtrace: write vmem at0xa1002bd8, 4 with 0x002a0a29
dtrace: write vmem at0xa1002bdc, 4 with 0x002a0a29
dtrace: write vmem at0xa1003200, 4 with 0x002a0a29
dtrace: write vmem at0xa1003204, 4 with 0x002a0a29
dtrace: write vmem at0xa1003208, 4 with 0x002a0a29
dtrace: write vmem at0xa100320c, 4 with 0x002a0a29
dtrace: write vmem at0xa1003210, 4 with 0x002a0a29
dtrace: write vmem at0xa1003214, 4 with 0x002a0a29
dtrace: write vmem at0xa1003218, 4 with 0x002a0a29
dtrace: write vmem at0xa100321c, 4 with 0x002a0a29
dtrace: write vmem at0xa1003840, 4 with 0x002a0a29
dtrace: write vmem at0xa1003844, 4 with 0x002a0a29
dtrace: write vmem at0xa1003848, 4 with 0x002a0a29
dtrace: write vmem at0xa100384c, 4 with 0x002a0a29
dtrace: write vmem at0xa1003850, 4 with 0x002a0a29
dtrace: write vmem at0xa1003854, 4 with 0x002a0a29
dtrace: write vmem at0xa1003858, 4 with 0x002a0a29
dtrace: write vmem at0xa100385c, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e80, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e84, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e88, 4 with 0x002a0a29
